Customer_ID,Customer_Name,Age,City,Area,Tenure_Months,Items_Bought,Preferred_Category,Orders_Per_Month,Avg_Order_Value,Monthly_Spend,Payment_Method,Wallet_Usage,UPI_Usage,COD_Usage,Distance_km,Delivery_Time_Avg,Late_Delivery_Count,Avg_Rating,Complaints_Count,Refund_Amount,High_Value_Customer
C000001,Meera,36,Pune,Tambaram,51,Cleaning Supplies,Electronics,2,5193,10386,Wallet,23272,64997,2278,0.54,66,1,1.5,8,12515,0
C000002,Sneha,61,Mumbai,OMR,45,Frozen Foods,Beverages,19,6642,126198,COD,22661,59982,7273,3.06,19,5,2.5,8,12460,0
C000003,Ishaan,57,Mumbai,Perungudi,16,Snacks and Beverages,Fruits,37,2555,94535,NetBanking,13954,78540,1510,14.95,68,9,3.7,2,15548,0
C000004,Priya,32,Chennai,Tambaram,19,Electronics Accessories,Personal Care,2,2925,5850,UPI,5094,23783,14414,6.19,67,14,1.5,4,8802,0
C000005,Karthik,38,Delhi,T Nagar,38,Electronics Accessories,Bakery,7,1189,8323,NetBanking,28775,69008,15209,7.34,10,15,1.1,6,7036,0
C000006,Ishaan,39,Mumbai,Adyar,27,Fruits and Vegetables,Personal Care,4,2878,11512,COD,14685,75452,12212,11.94,21,8,4.9,8,9736,0
C000007,Meera,33,Hyderabad,Perungudi,49,Frozen Foods,Dairy,24,1320,31680,NetBanking,1130,57346,3205,9.75,67,14,4.7,1,16324,0
C000008,Ira,22,Mumbai,Velachery,26,"Rice, Dal, Cooking Oil",Personal Care,32,3781,120992,Wallet,16717,1619,15597,1.36,57,8,4.7,7,18122,0
C000009,Aishwarya,34,Hyderabad,Perungudi,45,Cleaning Supplies,Dairy,13,5759,74867,UPI,26942,38489,15575,1.52,25,3,3.7,5,8818,0
C000010,Karthik,64,Bangalore,Perungudi,36,Electronics Accessories,Electronics,5,2084,10420,NetBanking,2017,66304,12603,14.69,55,1,3.8,7,16729,0
C000011,Priya,43,Chennai,Porur,7,Baby Care Products,Grocery,8,5966,47728,Card,25082,26136,6503,4.55,40,15,3.6,7,9027,0
C000012,Sneha,43,Chennai,OMR,1,Personal Care Items,Dairy,13,2443,31759,UPI,7256,50622,18192,6.06,33,8,3.4,5,6331,0
C000013,Sai,65,Chennai,Porur,21,"Rice, Dal, Cooking Oil",Personal Care,37,5782,213934,COD,10255,12708,4905,13.33,61,3,1.1,10,17408,1
C000014,Saanvi,20,Hyderabad,Anna Nagar,56,Electronics Accessories,Electronics,12,6983,83796,Wallet,1620,32091,2784,14.21,30,7,2.3,2,10152,0
